部門 問題
勞動部勞動力發展署 「各地就業服務據點上下班、休息時間」為何？
勞動部勞動力發展署 青年想要參加職業訓練提升職場競爭力，有哪些資源是針對青年所提供呢？
勞動部勞動力發展署 微型創業協助之成效?
勞動部勞動力發展署 我是身心障礙者想要尋找工作，要向那個單位洽詢？
勞動部勞動力發展署 事業單位想要為員工辦理職業訓練時，政府有提供什麼協助？
勞動部勞動力發展署 可請領職業訓練生活津貼的對象有哪些?又申請條件及補助規範為何？
勞動部勞動力發展署 公司行號要徵才要怎麼辦理？要找人才，怎麼做求才登記？
勞動部勞動力發展署 移工申請返鄉休假，雇主得否拒絕？有無罰則？
勞動部勞動力發展署 廠商如何報名參加現場徵才？
勞動部勞動力發展署 有培訓青年技術人才需求的事業單位，要如何申請青年人才培訓？
勞動部勞動力發展署 對於身心障礙者，有那些措施可幫助他們適性就業？
勞動部勞動力發展署 我失業了，該到哪裡申請失業給付？
勞動部勞動力發展署 想了解近期哪裡有舉辦徵才活動？
勞動部勞動力發展署 移工可利用何種假別申請返鄉休假？
勞動部勞動力發展署 移工可否申請以特別休假以外之假別返國？
勞動部勞動力發展署 雇主基於企業經營或被照顧者之急迫需求，得否拒絕移工的請假返國？
勞動部勞動力發展署 移工申請返鄉休假，是否需要辦理請假返國手續？
勞動部勞動力發展署 移工申請返鄉休假，雇主得否要求提出有關證明文件？
勞動部勞動力發展署 移工可否同時請特別休假及事假？工資如何發給？
勞動部勞動力發展署 雇主同意移工請假返國，其返國機票款項由誰負擔？
勞動部勞動力發展署 移工請假返國後，於母國聲明因個人因素或其他原因不再返臺工作，則雇主應如何處理？
勞動部勞動力發展署 推動家庭類雇主免附戶口名簿及具親屬關係問答集
勞動部勞動力發展署 《就業服務法第5條第2項第6款薪資揭示規定》常見問答集
勞動部勞動力發展署 公立就業服務機構如何推介失業勞工從事特定行業工作？
勞動部勞動力發展署 歡迎臺商回臺投資行動方案聘僱移工Q&A
勞動部勞動力發展署 乳牛飼育業聘僱移工Q&A
勞動部勞動力發展署 外展農務聘僱移工Q&A
勞動部勞動力發展署 雇主招募員工公開揭示或告知職缺薪資範圍指導原則
勞動部勞動力發展署 在職勞工想要參加訓練提升職場能力，可運用什麼資源？
勞動部勞動力發展署 多元就業開發方案協助就業促進成效為何？
勞動部勞動力發展署 失業勞工報名本署職前訓練課程需具備何種資格？如何報名？訓練期間需要負擔訓練費用嗎？
勞動部勞動力發展署 外國人才事務相關常見問答
勞動部勞動力發展署 什麼是義務機關構？
勞動部勞動力發展署 義務機關構的員工總人數如何界定？
勞動部勞動力發展署 製造業雇主於國內招募期間工廠疑無營運事實，嗣後雇主於聘僱外國人時，將再次查核工廠營運情形問答集
勞動部勞動力發展署 雇主申請聘僱移工推動簡訊及電子郵件服務通知問答集
勞動部勞動力發展署 我到就業中心或就服站台找工作需要準備什麼？
勞動部勞動力發展署 申請設立職業訓練機構要準備哪些文件及表格？建管主管機關之核可函件是指什麼？
勞動部勞動力發展署 學校建築物供作學校機關附設職業訓練中心使用，其使用類組是否需辦理變更？
勞動部勞動力發展署 如何申請職能導向課程品質認證？
勞動部勞動力發展署 TTQS有哪些服務?如何申請?
勞動部勞動力發展署 外籍人士可否參加技能檢定測試？
勞動部勞動力發展署 職訓機構師資應具備什麼資格或條件？
勞動部勞動力發展署 民營事業機構、社團法人及財團法人申請附設職業訓練機構時，檢附訓練品質規範之證明文件如何認定？
勞動部勞動力發展署 企業如有人力需求，本署如何協助補充相關人力？
勞動部勞動力發展署 何謂身心障礙者養成及進修職業訓練？
勞動部勞動力發展署 事業單位進用身心障礙者有何獎勵項目？向什麼單位申請？
